key,en,de
navigation.mods,Mods,Mods
navigation.dashboard,Dashboard,Dashboard
navigation.my_mods,My Mods,Meine Mods
navigation.moderation,Moderation,Moderation
navigation.reports,Reports,Meldungen
navigation.categories,Categories,Kategorien
navigation.ranks,Ranks,Ränge
navigation.rank_point_rules,Point Rules,Punkteregeln
navigation.settings,Settings,Einstellungen
navigation.users,Users,Benutzer
navigation.profile,Profile,Profil
navigation.logout,Log Out,Abmelden
navigation.admin,Admin,Admin
navigation.moderation_queue,Moderation Queue,Moderations-Warteschlange
navigation.moderation_group,Moderation,Moderation
navigation.open_tasks,Open tasks,Offene Aufgaben
navigation.open_tasks_total,open tasks,offene Aufgaben
navigation.no_open_tasks,No open tasks.,Keine offenen Aufgaben.
navigation.pending_reviews,Mod reviews,Mod-Prüfungen
navigation.pending_reports,Reports,Meldungen
actions.submit,Submit,Absenden
actions.save,Save,Speichern
actions.cancel,Cancel,Abbrechen
actions.delete,Delete,Löschen
actions.edit,Edit,Bearbeiten
actions.approve,Approve,Genehmigen
actions.reject,Reject,Ablehnen
actions.resolve,Resolve,Erledigen
actions.dismiss,Dismiss,Verwerfen
actions.hide,Hide,Verbergen
actions.show,Show,Sichtbar machen
actions.block,Block,Sperren
actions.unblock,Unblock,Entsperren
actions.post,Post,Senden
actions.rate,Rate,Bewerten
actions.preview,Preview,Vorschau
actions.back,Back,Zurück
actions.filter,Filter,Filtern
mods.title,Mods,Mods
mods.submit_mod,Submit Mod,Mod einreichen
mods.submitted_mods,Submitted mods,Eingereichte Mods
mods.track_status_subtitle,"Track pending, approved, and rejected entries.","Verfolge ausstehende, genehmigte und abgelehnte Einträge."
mods.no_submitted_mods,You have not submitted any mods yet.,Du hast noch keine Mods eingereicht.
mods.my_mods,My Mods,Meine Mods
mods.no_mods,No mods yet.,Noch keine Mods vorhanden.
mods.status,Status,Status
mods.category,Category,Kategorie
mods.select_category,Select category,Kategorie auswählen
mods.description,Description,Beschreibung
mods.external_download_url,External download URL,Externer Download-Link
mods.virustotal_url,VirusTotal URL,VirusTotal-Link
mods.screenshot_urls,Screenshot URLs,Screenshot-URLs
mods.screenshot_urls_placeholder,One image URL per line,Eine URL pro Zeile
mods.submit_for_review,Submit for review,Zur Prüfung einreichen
mods.download,External Download,Externer Download
mods.download_clicks_count,{count} download clicks,{count} Download-Klicks
mods.virustotal,VirusTotal Report,VirusTotal-Bericht
mods.no_virustotal,No VirusTotal link was provided for this entry.,Für diesen Eintrag wurde kein VirusTotal-Link angegeben.
mods.submitted_by,Submitted by,Eingereicht von
mods.unknown,Unknown,Unbekannt
mods.rating,Rating,Bewertung
mods.no_ratings,No ratings yet,Noch keine Bewertungen
mods.rate_this_mod,Rate this mod,Diesen Mod bewerten
mods.select_rating,Select rating,Bewertung auswählen
mods.save_rating,Save rating,Bewertung speichern
mods.login_to_rate,Log in to rate this mod.,"Anmelden, um diesen Mod zu bewerten."
mods.comments,Comments,Kommentare
